combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,zone_1_ha,zone_2_ha,zone_3_ha,zone_4_ha,zone_5_ha,zone_6_ha,zone_7_ha,zone_8_ha,zone_9_ha,zone_10_ha,zone_11_ha,zone_12_ha,zone_13_ha,zone_14_ha,zone_15_ha,zone_16_ha,zone_17_ha,zone_18_ha,zone_19_ha,zone_20_ha,zone_21_ha,zone_22_ha,zone_23_ha,zone_24_ha,zone_25_ha,zone_26_ha,zone_27_ha
68,bio0_whs1_land1_list1000_bld1000,False,True,1,1000,1000,130390.5,205.7,44023.5,15081.1,101064.4,19372.0,12986.5,15287.9,2044.8,31703.8,33930.0,25316.1,11076.6,5305.0,5549.4,6779.1,1759.5,15978.0,988.7,146.0,4778.6,4549.7,0.0,452.3,159.2,1823.6,9066.1
69,bio0_whs1_land1_list1000_bld1250,False,True,1,1000,1250,61569.6,26.5,19602.0,6167.6,54415.6,8901.3,5511.8,6869.8,817.3,14528.1,16436.9,12175.9,3713.6,1583.6,817.3,1770.5,645.8,5727.4,572.9,25.4,1873.4,2468.4,0.0,98.4,31.0,331.8,4296.4
70,bio0_whs1_land1_list1500_bld250,False,True,1,1500,250,572881.1,11363.1,195852.9,65850.5,309123.0,74801.6,63740.5,47863.1,20130.6,156318.2,157557.9,118685.7,110304.2,49125.0,138303.2,100958.2,41633.6,175236.8,4693.4,7586.4,33973.1,23988.0,11.1,15310.0,12985.4,39441.7,34967.3
71,bio0_whs1_land1_list1500_bld500,False,True,1,1500,500,385143.3,2403.1,138494.5,47156.5,232594.0,54131.3,43352.2,36041.1,8227.9,100201.8,100664.1,74503.0,57798.5,27028.1,55262.7,45471.1,14721.7,76342.1,2426.3,1692.0,18684.1,12915.7,0.0,4796.3,4204.6,15712.6,21786.1
72,bio0_whs1_land1_list1500_bld750,False,True,1,1500,750,212495.5,516.5,75340.2,25668.9,149058.0,31825.4,22793.6,23102.1,3641.7,52752.3,54048.4,40706.9,22951.7,11379.7,15702.6,15782.2,3582.0,30665.4,1386.8,324.0,8863.7,6785.8,0.0,1177.8,673.5,4104.0,13637.9
73,bio0_whs1_land1_list1500_bld1000,False,True,1,1500,1000,130314.2,203.5,43876.4,15019.2,100634.2,19323.3,12918.0,15168.5,2043.7,31505.8,33644.6,25183.4,10974.9,5208.8,5516.2,6636.5,1724.1,15777.8,988.7,141.6,4714.4,4379.3,0.0,443.5,159.2,1684.3,8955.5
74,bio0_whs1_land1_list1500_bld1250,False,True,1,1500,1250,61561.8,26.5,19599.8,6164.3,54362.5,8893.6,5511.8,6861.0,817.3,14513.8,16413.7,12161.5,3713.6,1583.6,817.3,1763.9,641.4,5717.5,572.9,25.4,1864.5,2457.3,0.0,98.4,31.0,320.7,4296.4
75,bio0_whs1_land2_list500_bld250,False,True,2,500,250,538550.9,12175.9,198439.5,66475.3,166519.0,64469.2,64774.5,31577.7,24549.8,166824.2,170943.7,99711.9,112577.9,31284.7,103949.7,83300.4,52286.7,264280.1,3215.9,4226.7,15478.1,46003.0,11.1,30209.7,25388.0,55695.1,17308.4
76,bio0_whs1_land2_list500_bld500,False,True,2,500,500,355758.6,2551.3,139864.7,47528.0,112908.5,45781.8,44015.7,22720.6,9054.0,103560.4,104512.6,53737.6,52379.6,13520.7,26896.5,21444.4,16250.0,77700.2,346.1,348.4,3253.5,18272.7,0.0,6298.1,5071.6,14312.5,1988.4
77,bio0_whs1_land2_list500_bld750,False,True,2,500,750,194467.2,525.3,75787.0,25832.6,67235.1,26437.5,22961.7,13503.0,3678.2,53470.0,54737.4,27719.3,18983.8,5259.6,6075.8,4014.4,3666.0,26303.7,17.7,4.4,538.6,7562.1,0.0,1234.2,261.0,1718.6,242.2
78,bio0_whs1_land2_list500_bld1000,False,True,2,500,1000,118966.6,205.7,44023.5,15081.1,43490.4,16046.5,12919.1,8384.9,2044.8,31679.5,33847.0,17746.3,8712.2,2480.5,2194.1,1644.5,1759.5,13345.9,0.0,4.4,164.8,4549.7,0.0,452.3,11.1,449.0,65.2
79,bio0_whs1_land2_list500_bld1250,False,True,2,500,1250,56064.4,26.5,19602.0,6167.6,22519.3,7525.6,5481.9,3438.2,817.3,14528.1,16421.4,9653.4,2806.8,852.6,369.4,610.5,645.8,4911.3,0.0,4.4,45.3,2468.4,0.0,98.4,0.0,84.0,0.0
80,bio0_whs1_land2_list1000_bld250,False,True,2,1000,250,535843.6,11895.0,197688.6,66312.8,164071.7,64119.8,64392.9,31207.2,22947.3,163084.1,166028.0,95217.5,107404.5,28752.2,93313.2,70525.1,48120.8,217278.5,2674.1,3897.2,13177.8,36438.1,11.1,22821.2,18173.2,42498.4,13240.9
81,bio0_whs1_land2_list1000_bld500,False,True,2,1000,500,355277.5,2514.8,139622.5,47458.4,112457.3,45665.7,43797.9,22581.3,8768.6,102585.0,103286.1,52851.8,51531.4,13191.1,25793.9,19647.3,15849.7,73639.3,346.1,335.1,3039.0,16576.3,0.0,5655.5,4322.9,12496.6,1732.9
82,bio0_whs1_land2_list1000_bld750,False,True,2,1000,750,194422.9,525.3,75779.2,25821.5,67162.1,26429.8,22937.4,13480.9,3677.1,53414.7,54595.8,27630.8,18962.8,5259.6,6074.7,3975.7,3664.9,26208.6,17.7,4.4,501.0,7470.3,0.0,1227.5,254.4,1669.9,227.8
83,bio0_whs1_land2_list1000_bld1000,False,True,2,1000,1000,118966.6,205.7,44023.5,15081.1,43487.1,16046.5,12919.1,8384.9,2044.8,31679.5,33843.7,17746.3,8712.2,2480.5,2194.1,1644.5,1759.5,13345.9,0.0,4.4,147.1,4549.7,0.0,452.3,11.1,449.0,65.2
84,bio0_whs1_land2_list1000_bld1250,False,True,2,1000,1250,56064.4,26.5,19602.0,6167.6,22519.3,7525.6,5481.9,3438.2,817.3,14528.1,16421.4,9653.4,2806.8,852.6,369.4,610.5,645.8,4911.3,0.0,4.4,37.6,2468.4,0.0,98.4,0.0,84.0,0.0
85,bio0_whs1_land2_list1500_bld250,False,True,2,1500,250,530453.5,11363.1,195852.9,65850.5,159175.9,63220.7,63623.2,30297.1,20130.6,156312.7,156556.0,87364.6,98727.7,25921.1,75083.6,52187.2,41633.6,157162.0,1906.6,3224.8,9968.5,23988.0,11.1,15310.0,9317.2,24853.9,8804.0
86,bio0_whs1_land2_list1500_bld500,False,True,2,1500,500,353753.6,2403.1,138494.5,47156.5,111134.7,45269.8,43254.9,21999.6,8227.9,100196.3,100081.3,50815.9,49622.6,12826.2,22999.3,15970.2,14721.7,64691.5,295.3,287.5,2387.6,12915.7,0.0,4796.3,2511.5,8174.8,1285.0
87,bio0_whs1_land2_list1500_bld750,False,True,2,1500,750,194102.2,516.5,75340.2,25668.9,66745.2,26289.3,22707.3,13239.8,3641.7,52747.9,53842.7,27229.3,18660.9,5241.9,6030.4,3701.4,3582.0,25421.2,17.7,4.4,419.1,6785.8,0.0,1177.8,216.8,1280.6,195.7
88,bio0_whs1_land2_list1500_bld1000,False,True,2,1500,1000,118900.3,203.5,43876.4,15019.2,43300.2,15997.9,12850.5,8289.8,2043.7,31501.4,33558.4,17613.6,8610.5,2480.5,2194.1,1559.3,1724.1,13201.1,0.0,4.4,116.1,4379.3,0.0,443.5,11.1,343.9,65.2
89,bio0_whs1_land2_list1500_bld1250,False,True,2,1500,1250,56056.7,26.5,19599.8,6164.3,22493.9,7517.9,5481.9,3434.9,817.3,14513.8,16398.2,9639.0,2806.8,852.6,369.4,603.8,641.4,4901.3,0.0,4.4,28.8,2457.3,0.0,98.4,0.0,73.0,0.0
90,bio0_whs1_land3_list500_bld250,False,True,3,500,250,452816.4,12175.9,158149.6,57818.4,156078.2,52495.7,49440.1,24992.1,24549.8,158750.1,168187.8,95235.2,32489.0,12492.2,85138.4,70925.5,51079.1,241361.5,2416.4,4226.7,13802.7,23845.3,11.1,26351.3,14590.1,29530.7,9809.3
91,bio0_whs1_land3_list500_bld500,False,True,3,500,500,304340.0,2551.3,112261.6,41686.7,104623.2,37419.1,34379.0,18450.7,9054.0,98073.0,102635.9,52615.2,5919.9,2071.3,17290.7,17630.2,15565.5,71641.0,151.5,348.4,2611.0,11463.7,0.0,5928.7,2498.2,6548.0,480.0
92,bio0_whs1_land3_list500_bld750,False,True,3,500,750,171901.4,525.3,62218.7,22930.7,61953.3,21776.2,18564.7,11242.5,3678.2,50687.6,53638.1,27438.4,313.0,76.3,2594.4,3715.8,3489.1,25108.2,0.0,4.4,310.8,6530.3,0.0,1234.2,88.5,744.3,12.2
93,bio0_whs1_land3_list500_bld1000,False,True,3,500,1000,107005.3,205.7,36872.7,13498.6,40043.3,13407.9,10657.5,7104.3,2044.8,30259.5,33118.2,17503.0,60.8,0.0,808.4,1546.0,1706.4,12924.6,0.0,4.4,58.6,4361.6,0.0,452.3,5.5,232.2,4.4
94,bio0_whs1_land3_list500_bld1250,False,True,3,500,1250,51209.6,26.5,17015.3,5688.7,20599.5,6675.2,4569.6,2885.3,817.3,13977.4,16068.7,9446.6,0.0,0.0,101.7,580.6,641.4,4807.3,0.0,4.4,0.0,2458.4,0.0,98.4,0.0,38.7,0.0
95,bio0_whs1_land3_list1000_bld250,False,True,3,1000,250,450193.2,11895.0,157611.0,57655.8,153649.7,52161.7,49127.2,24626.1,22947.3,155105.1,163379.4,91084.8,28323.1,10367.8,75257.2,60369.7,46923.1,199339.7,1997.2,3897.2,11805.4,19406.2,11.1,20629.4,9840.3,22836.7,7155.1
96,bio0_whs1_land3_list1000_bld500,False,True,3,1000,500,303860.1,2514.8,112076.9,41617.0,104174.2,37312.9,34215.3,18311.4,8768.6,97117.5,101418.3,51742.6,5364.7,1813.7,16309.7,16358.4,15165.1,68229.3,151.5,335.1,2487.2,10837.8,0.0,5439.9,2036.0,5848.0,403.7
97,bio0_whs1_land3_list1000_bld750,False,True,3,1000,750,171857.2,525.3,62215.4,22919.7,61880.3,21769.5,18551.4,11220.4,3677.1,50632.3,53496.6,27349.9,295.3,76.3,2593.3,3682.6,3488.0,25015.3,0.0,4.4,310.8,6483.9,0.0,1227.5,81.8,739.8,12.2
98,bio0_whs1_land3_list1000_bld1000,False,True,3,1000,1000,107005.3,205.7,36872.7,13498.6,40040.0,13407.9,10657.5,7104.3,2044.8,30259.5,33114.9,17503.0,60.8,0.0,808.4,1546.0,1706.4,12924.6,0.0,4.4,58.6,4361.6,0.0,452.3,5.5,232.2,4.4
99,bio0_whs1_land3_list1000_bld1250,False,True,3,1000,1250,51209.6,26.5,17015.3,5688.7,20599.5,6675.2,4569.6,2885.3,817.3,13977.4,16068.7,9446.6,0.0,0.0,101.7,580.6,641.4,4807.3,0.0,4.4,0.0,2458.4,0.0,98.4,0.0,38.7,0.0
