combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,zone_1_ha,zone_2_ha,zone_3_ha,zone_4_ha,zone_5_ha,zone_6_ha,zone_7_ha,zone_8_ha,zone_9_ha,zone_10_ha,zone_11_ha,zone_12_ha,zone_13_ha,zone_14_ha,zone_15_ha,zone_16_ha,zone_17_ha,zone_18_ha,zone_19_ha,zone_20_ha,zone_21_ha,zone_22_ha,zone_23_ha,zone_24_ha,zone_25_ha,zone_26_ha,zone_27_ha
56,bio0_whs0_land4_list1500_bld500,False,False,4,1500,500,448420.8,3318.7,125178.7,46102.7,117544.2,41746.0,40325.6,19944.3,10903.1,114717.2,118295.4,60078.7,6937.9,2462.9,15665.0,18637.7,19589.2,78966.8,364.2,564.5,3173.1,10812.1,0.0,6186.8,1748.1,7270.3,560.0
57,bio0_whs0_land4_list1500_bld750,False,False,4,1500,750,281396.0,646.4,76044.1,27510.4,73458.3,26627.3,23577.1,13397.9,4834.7,63952.8,64744.9,32472.6,719.3,177.5,2690.5,4944.0,4761.9,32481.7,0.0,22.8,500.8,7192.9,0.0,1575.1,232.2,1170.0,18.2
58,bio0_whs0_land4_list1500_bld1000,False,False,4,1500,1000,184251.3,241.3,45884.1,16092.9,47500.3,16616.4,13857.7,8818.1,2918.1,38987.2,39606.3,20690.9,109.3,0.0,851.3,1957.6,2057.7,16807.6,0.0,9.1,86.5,5003.1,0.0,473.5,13.7,273.1,9.1
59,bio0_whs0_land4_list1500_bld1250,False,False,4,1500,1250,122287.9,59.2,26873.1,9314.3,30897.5,10347.7,7985.0,5098.7,1579.7,23991.4,24783.5,13625.5,9.1,0.0,286.8,842.2,1119.9,9050.3,0.0,0.0,18.2,3469.0,0.0,159.3,0.0,68.3,0.0
60,bio0_whs1_land1_list500_bld250,False,True,1,500,250,759899.4,26481.6,240824.6,78611.7,395840.0,95519.5,84338.7,60092.3,48501.8,232684.8,242053.7,194608.1,195942.0,91558.9,321129.8,253612.4,96999.0,639828.5,13379.6,25826.0,74036.5,91044.4,72.8,73007.6,76936.4,161944.3,94818.4
61,bio0_whs1_land1_list500_bld500,False,True,1,500,500,440048.8,3478.1,156130.8,52394.1,260163.4,61007.4,52225.7,40425.7,12027.6,124300.1,126762.9,93002.0,73230.7,34808.0,78611.7,66962.0,22707.6,118513.9,2840.7,2849.8,23886.7,23422.4,0.0,8654.2,11572.3,33319.4,27210.0
62,bio0_whs1_land1_list500_bld750,False,True,1,500,750,257618.5,646.4,92792.6,30865.6,173798.8,38709.5,29554.5,27637.9,4907.5,67849.7,67298.9,50309.1,29859.5,14781.8,22388.9,22138.6,5117.0,42087.4,1361.2,582.7,11271.9,9496.4,0.0,1607.0,1784.6,7561.6,16015.5
63,bio0_whs1_land1_list500_bld1000,False,True,1,500,1000,157624.0,241.3,54574.8,17822.8,117143.6,23996.0,16853.2,18264.4,2918.1,40826.4,40739.9,30760.9,14303.8,6724.0,7602.6,8909.1,2153.3,20950.4,901.4,250.4,5972.8,5558.5,0.0,473.5,400.6,2608.6,10211.1
64,bio0_whs1_land1_list500_bld1250,False,True,1,500,1250,97081.0,59.2,31275.3,10115.5,78233.8,14554.2,9605.7,11344.7,1579.7,24874.6,25334.4,19124.8,6892.4,3154.8,2385.5,3687.5,1156.3,10816.6,641.9,77.4,3191.3,3573.7,0.0,159.3,122.9,1006.1,6341.6
65,bio0_whs1_land1_list1000_bld250,False,True,1,1000,250,753016.1,25748.7,239732.0,78411.4,389457.5,94768.3,83847.0,59400.4,44618.6,226739.3,232939.7,184779.4,183905.3,83796.9,291793.8,222478.2,87179.4,513766.6,11399.3,23317.6,65955.9,71009.1,72.8,53668.8,56755.4,126357.8,78698.2
66,bio0_whs1_land1_list1000_bld500,False,True,1,1000,500,439115.6,3437.1,155807.6,52325.8,259271.1,60916.3,52016.3,40261.9,11690.7,123207.5,125092.2,91668.1,71942.4,33943.1,76390.1,64189.5,22047.5,112390.9,2772.4,2767.9,23549.8,21637.8,0.0,7866.6,10202.0,30729.0,26222.1
67,bio0_whs1_land1_list1000_bld750,False,True,1,1000,750,257568.5,646.4,92765.3,30865.6,173639.5,38709.5,29522.6,27624.3,4898.4,67740.4,67166.8,50181.6,29795.8,14740.8,22352.5,22056.6,5107.8,41946.3,1361.2,582.7,11203.6,9378.0,0.0,1593.4,1770.9,7479.7,15992.8
68,bio0_whs1_land1_list1000_bld1000,False,True,1,1000,1000,157624.0,241.3,54574.8,17822.8,117111.8,23996.0,16853.2,18264.4,2918.1,40826.4,40739.9,30756.3,14303.8,6724.0,7602.6,8909.1,2153.3,20941.3,901.4,250.4,5968.3,5558.5,0.0,473.5,400.6,2599.4,10211.1
69,bio0_whs1_land1_list1000_bld1250,False,True,1,1000,1250,97081.0,59.2,31275.3,10115.5,78220.2,14554.2,9605.7,11344.7,1579.7,24874.6,25334.4,19124.8,6892.4,3154.8,2385.5,3687.5,1156.3,10816.6,641.9,77.4,3186.7,3573.7,0.0,159.3,122.9,1006.1,6341.6
70,bio0_whs1_land1_list1500_bld250,False,True,1,1500,250,741106.8,24428.4,237423.9,77860.5,378722.8,93083.9,82686.1,57907.2,38782.3,215581.2,217447.7,168586.3,166341.9,72821.0,244184.3,175720.0,73522.1,354089.5,8749.8,19898.8,55594.5,44381.8,63.7,33633.5,31689.6,84133.8,60420.1
71,bio0_whs1_land1_list1500_bld500,False,True,1,1500,500,436406.9,3318.7,154519.2,52084.6,256926.6,60602.2,51328.9,39620.0,10903.1,120362.2,120958.6,88449.5,69374.8,32062.9,70622.1,57401.8,20354.0,98938.4,2531.2,2572.1,22029.3,16885.0,0.0,6642.0,6947.0,24460.3,24505.8
72,bio0_whs1_land1_list1500_bld750,False,True,1,1500,750,256922.0,646.4,92346.4,30788.2,172729.0,38586.6,29099.3,27323.8,4834.7,66980.2,66247.2,49594.4,29554.5,14413.1,21997.4,21305.5,5007.7,40794.5,1315.7,569.1,10812.1,8604.1,0.0,1575.1,1475.0,6728.5,15478.3
73,bio0_whs1_land1_list1500_bld1000,False,True,1,1500,1000,157478.3,241.3,54456.4,17809.2,116652.0,23977.7,16671.1,18150.6,2918.1,40612.4,40466.7,30597.0,14267.4,6642.0,7575.3,8781.7,2135.1,20750.1,901.4,250.4,5877.2,5349.1,0.0,473.5,396.1,2472.0,10111.0
74,bio0_whs1_land1_list1500_bld1250,False,True,1,1500,1250,97076.4,59.2,31252.6,10115.5,78074.5,14549.6,9569.2,11326.5,1579.7,24851.8,25293.4,19093.0,6887.9,3141.2,2385.5,3669.3,1147.2,10803.0,641.9,77.4,3159.4,3564.6,0.0,159.3,122.9,1001.5,6323.4
75,bio0_whs1_land2_list500_bld250,False,True,2,500,250,706663.0,26481.6,240824.6,78611.7,226224.9,81821.2,84215.8,39014.5,48501.8,232589.2,240669.8,154551.1,181437.9,55353.2,219928.8,178456.0,96999.0,606809.6,10001.7,14677.1,40125.3,91044.4,72.8,73007.6,61967.9,128934.5,58394.3
76,bio0_whs1_land2_list500_bld500,False,True,2,500,500,403925.2,3478.1,156130.8,52394.1,128693.2,51205.9,52130.1,25275.2,12027.6,124209.0,126007.2,65072.7,64025.6,16848.6,36683.6,30642.5,22707.6,103609.2,787.6,705.6,4397.7,23422.4,0.0,8654.2,7789.2,21719.7,3350.6
77,bio0_whs1_land2_list500_bld750,False,True,2,500,750,234942.8,646.4,92792.6,30865.6,80082.1,32163.1,29472.6,16411.6,4907.5,67776.9,67075.8,33460.5,24469.4,6787.7,8299.1,6154.9,5117.0,35058.4,50.1,36.4,887.7,9496.4,0.0,1607.0,951.5,3095.7,314.1
78,bio0_whs1_land2_list500_bld1000,False,True,2,500,1000,143452.2,241.3,54574.8,17822.8,51811.4,19775.8,16775.8,10393.2,2918.1,40780.8,40703.4,21118.8,11203.6,3282.3,2963.6,2185.2,2153.3,17467.7,0.0,9.1,277.7,5558.5,0.0,473.5,113.8,614.6,59.2
79,bio0_whs1_land2_list500_bld1250,False,True,2,500,1250,88322.1,59.2,31275.3,10115.5,33665.4,12036.7,9541.9,5977.4,1579.7,24865.5,25334.4,13898.6,5312.7,1711.7,978.8,910.5,1156.3,9259.7,0.0,0.0,104.7,3573.7,0.0,159.3,9.1,154.8,9.1
