combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,valid_cells_raw,valid_cells_filtered,total_area_m2,total_area_hectares,total_area_km2,total_capacity_gw
183,bio1_whs1_land1_list500_bld1000,True,True,1,500,1000,258680,254782,2674086748.5,267408.7,2674.1,56.4
184,bio1_whs1_land1_list500_bld1250,True,True,1,500,1250,115102,113236,1203799642.0,120380.0,1203.8,25.0
185,bio1_whs1_land1_list1000_bld250,True,True,1,1000,250,1741039,1687380,17456748122.0,1745674.8,17456.7,373.2
186,bio1_whs1_land1_list1000_bld500,True,True,1,1000,500,919961,899996,9278003765.3,927800.4,9278.0,199.1
187,bio1_whs1_land1_list1000_bld750,True,True,1,1000,750,444264,437293,4551741255.3,455174.1,4551.7,96.7
188,bio1_whs1_land1_list1000_bld1000,True,True,1,1000,1000,258674,254776,2674020394.9,267402.0,2674.0,56.4
189,bio1_whs1_land1_list1000_bld1250,True,True,1,1000,1250,115102,113236,1203799642.0,120380.0,1203.8,25.0
190,bio1_whs1_land1_list1500_bld250,True,True,1,1500,250,1551311,1509816,15508039875.8,1550804.0,15508.0,333.9
191,bio1_whs1_land1_list1500_bld500,True,True,1,1500,500,880023,862634,8871355196.7,887135.5,8871.4,190.8
192,bio1_whs1_land1_list1500_bld750,True,True,1,1500,750,438627,431881,4494898263.7,449489.8,4494.9,95.5
193,bio1_whs1_land1_list1500_bld1000,True,True,1,1500,1000,257027,253169,2657852213.2,265785.2,2657.9,56.0
194,bio1_whs1_land1_list1500_bld1250,True,True,1,1500,1250,114989,113121,1202760100.9,120276.0,1202.8,25.0
195,bio1_whs1_land2_list500_bld250,True,True,2,500,250,1664912,1606596,16562908668.1,1656290.9,16562.9,355.3
196,bio1_whs1_land2_list500_bld500,True,True,2,500,500,803927,784803,8005118876.6,800511.9,8005.1,173.6
197,bio1_whs1_land2_list500_bld750,True,True,2,500,750,376046,369900,3807916428.0,380791.6,3807.9,81.8
198,bio1_whs1_land2_list500_bld1000,True,True,2,500,1000,218836,215481,2240498583.2,224049.9,2240.5,47.7
199,bio1_whs1_land2_list500_bld1250,True,True,2,500,1250,98090,96468,1018960388.9,101896.0,1019.0,21.3
200,bio1_whs1_land2_list1000_bld250,True,True,2,1000,250,1540275,1490418,15285224196.0,1528522.4,15285.2,329.6
201,bio1_whs1_land2_list1000_bld500,True,True,2,1000,500,789054,770990,7854905189.0,785490.5,7854.9,170.5
202,bio1_whs1_land2_list1000_bld750,True,True,2,1000,750,375536,369396,3802497543.6,380249.8,3802.5,81.7
203,bio1_whs1_land2_list1000_bld1000,True,True,2,1000,1000,218830,215475,2240432229.5,224043.2,2240.4,47.7
204,bio1_whs1_land2_list1000_bld1250,True,True,2,1000,1250,98090,96468,1018960388.9,101896.0,1019.0,21.3
205,bio1_whs1_land2_list1500_bld250,True,True,2,1500,250,1367367,1328999,13514697716.4,1351469.8,13514.7,293.9
206,bio1_whs1_land2_list1500_bld500,True,True,2,1500,500,755853,740133,7520150839.8,752015.1,7520.2,163.7
207,bio1_whs1_land2_list1500_bld750,True,True,2,1500,750,371384,365424,3761579436.8,376157.9,3761.6,80.8
208,bio1_whs1_land2_list1500_bld1000,True,True,2,1500,1000,217538,214201,2227946677.5,222794.7,2227.9,47.4
209,bio1_whs1_land2_list1500_bld1250,True,True,2,1500,1250,97984,96359,1017987201.5,101798.7,1018.0,21.3
